Sample ID,FDL_L,FMSB_L,FDB_L,FDL_R,FMSB_R,FDB_R,TDL_L,TPB_L,TMSB_L,TDB_L,TDL_R,TPB_R,TMSB_R,TDB_R,FBDL_L,FBDL_R,HDL_L,HPB_L,HMSB_L,HDB_L,HDL_R,HPB_R,HMSB_R,HDB_R,RDL_L,RPB_L,RMSB_L,RDB_L,RDL_R,RPB_R,RMSB_R,RDB_R,UDL_L,UMSB_L,UDL_R,UMSB_R,Wt (kg),Age
23,NA,NA,65.77,NA,NA,68.75,291.55,58.14,17.24,39.41,298.32,57.37,18.88,40.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,15.75
24,NA,NA,57.43,NA,NA,59.51,NA,NA,NA,NA,246.81,58.74,16.32,38.02,NA,260.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,9.42
25,NA,NA,59.78,NA,NA,64.24,NA,NA,NA,NA,260.13,59.93,16.65,40.09,NA,255.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,10.44
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.62,47.42,21.92,55.94,NA,NA,NA,NA,251.13,23.64,15.52,29.08,NA,NA,NA,NA,269.45,16.18,NA,NA,54,14.88
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.93,11.99,9.41,20.22,NA,NA,NA,NA,154.39,8.15,NA,NA,15,5.82
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.44,20.83,15.38,25.5,NA,NA,NA,NA,NA,NA,NA,NA,68.7,15.5
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.26,19.94,12.95,28.12,NA,NA,NA,NA,181.67,14.73,NA,NA,51.1,13.42
30,375.06,21.72,66.32,384.69,21.59,68.64,297.16,59.14,19.3,37.63,315.38,59.44,21.64,36.57,295.26,306.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,10.97
31,NA,NA,NA,207.45,12.14,45.86,NA,NA,NA,NA,170.31,35.88,11.87,24.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,3.69
32,389.23,25.35,77.76,381.25,24.98,75.02,312.82,64.77,22.18,47.03,309.24,76.08,24.26,44.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.2,13
33,424.37,23.41,78.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,13.55
