Sample ID,FDL_L,FMSB_L,FDB_L,FDL_R,FMSB_R,FDB_R,TDL_L,TPB_L,TMSB_L,TDB_L,TDL_R,TPB_R,TMSB_R,TDB_R,FBDL_L,FBDL_R,HDL_L,HPB_L,HMSB_L,HDB_L,HDL_R,HPB_R,HMSB_R,HDB_R,RDL_L,RPB_L,RMSB_L,RDB_L,RDL_R,RPB_R,RMSB_R,RDB_R,UDL_L,UMSB_L,UDL_R,UMSB_R,Wt (kg),Age
100,439.38,27.14,77.76,441.87,28,76.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,15.93
101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.09,32.69,18.93,46.79,NA,NA,NA,NA,202.62,13.69,12.87,23.5,NA,NA,233.44,12.35,64.5,16.31
102,NA,NA,60.47,NA,NA,60.23,280.65,53.87,14.11,37.2,281.81,53.66,15.9,37.32,284.31,279.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,9.93
103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.51,50.68,28.42,69.42,NA,NA,NA,NA,NA,25.74,NA,NA,NA,NA,NA,NA,17.1,3.53
104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.36,38.38,21.9,54.91,NA,NA,NA,NA,165.83,19.12,16.57,29.31,NA,NA,NA,NA,189.25,15.33,NA,NA,9.2,1.11
105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.37,43.31,21.21,57.04,NA,NA,NA,NA,NA,19.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,2.28
106,172.43,14.06,41.99,172.47,12.85,42.21,141.09,34.01,12.51,23.43,141.91,33.46,11.92,22.9,138.08,138.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,2.01
107,179.23,13.39,43.32,179.13,13.53,43.22,146.58,35.04,11.4,23.38,147.3,34.77,12.51,23.75,143.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,2.32
108,184.75,13.35,43.85,183.9,13.98,44.07,150.33,35.35,11.74,24.08,151.36,35.45,11.78,23.42,147.61,147.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,2.54
109,191,13.45,44.49,189.88,13.05,44.8,155.22,36.73,12.85,25.72,156.33,36.52,12.57,25,NA,153.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,2.86
110,187.14,14.09,48.04,187.72,14.75,49.31,155.96,40.21,15.86,29.52,155.91,40.74,14.76,28.06,150.93,152.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2.05
111,NA,NA,NA,238.58,15.47,51.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,4.56
112,NA,NA,NA,241.77,16.4,52.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,4.68
113,NA,NA,NA,370,21.63,67.72,NA,NA,NA,NA,307.19,56.73,19.1,42.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5,14.08
114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.19,21.54,13.36,34.45,NA,NA,NA,NA,116.14,10.69,10.34,19.47,NA,NA,NA,NA,126.99,10.14,NA,NA,13,2.22
115,NA,NA,80.22,NA,NA,79.35,359.97,70.1,22.87,46.23,357.05,69.47,25.85,49.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,16.07
116,NA,NA,NA,NA,NA,54.69,NA,NA,NA,NA,204.51,50.47,15.81,38.95,NA,214.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,6.66
117,NA,NA,62.16,NA,NA,60.19,NA,NA,NA,NA,299.7,51.02,16.32,39.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,12.62
118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.15,NA,NA,NA,NA,145.52,13.53,12.83,20.45,NA,NA,157.55,10.94,30.2,6.7
119,NA,NA,78.49,NA,NA,NA,358.82,72.41,23.74,48.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,16.07
